role,id,user,query,duration_s,channels,samplerate,peak,rms,dc,body_over_glare_dB,decay_to_-20dB_s,peak_at_s,steadiness_cv,loop_seam_dB,bytes
cloth,256310,"Kodack","fabric movement",8.007,1,48000,0.97,0.04453,0.00002,3.35,0.09,1.825,0.912,42.19,185664
cloth,336572,"Anthousai","cloth drop",0.677,2,48000,0.5298,0.02485,-0.00048,-22.78,0.04,0.29,9,9,21024
cloth,336573,"Anthousai","cloth drop",0.674,2,48000,0.4409,0.01518,-0.00046,-23.58,0.05,0,9,9,21024
cloth,336574,"Anthousai","cloth drop",1.179,2,48000,0.4014,0.03284,-0.00053,-27.3,0.1,0.185,0.325,9,33408
cloth,336575,"Anthousai","cloth drop",0.695,2,48000,0.4183,0.02421,-0.00044,-27.08,0.215,0.15,9,9,20832
cloth,336576,"Anthousai","cloth drop",0.735,2,48000,0.5571,0.03019,-0.0005,-27.98,0.125,0.285,9,9,21720
cloth,336577,"Anthousai","cloth drop",0.84,2,48000,0.2746,0.01456,-0.00044,-18.38,0.035,0.11,0.999,9,25152
cloth,336578,"Anthousai","cloth drop",0.8,2,48000,0.295,0.02672,-0.00049,-22.11,0.045,0.175,0.726,9,23136
cloth,428336,"zembacraftworks","cloth drop",0.639,2,48000,0.7652,0.2071,0.00727,38.46,0.035,0.31,9,9,14219
cloth,428337,"zembacraftworks","cloth drop",0.836,2,48000,0.9712,0.15091,-0.00222,46.55,0.02,0.265,0.81,9,18055
cloth,430721,"juanj105","fabric movement",9.701,2,48000,0.0416,0.003,0,3.79,0.15,0.865,0.765,8.75,168856
cloth,458373,"detamine","cloth drop",0.405,1,48000,0.1773,0.02172,0.00018,8.1,0.065,0.135,9,9,12480
cloth,496448,"Harrisando","cloth drop",5.5,2,48000,0.0079,0.00019,0,19.17,0.03,0.965,1.697,2.11,105456
cloth,517723,"ZoviPoland","cloth drop",0.845,2,48000,0.3461,0.03398,0,26.82,0.065,0.215,1.071,9,16704
cloth,517724,"ZoviPoland","cloth drop",0.614,2,48000,0.6453,0.04193,0,20.56,0.065,0.09,9,9,11424
cloth,517725,"ZoviPoland","cloth drop",1.265,2,48000,0.4535,0.03606,0,22.24,0.04,0.27,1.271,9,23664
cloth,517726,"ZoviPoland","cloth drop",1.25,2,48000,0.7535,0.05326,-0.00001,13.72,0.15,0.255,0.967,9,20832
cloth,517727,"ZoviPoland","cloth drop",0.671,2,48000,0.7503,0.0684,0,29.46,0.1,0.11,9,9,13272
cloth,517728,"ZoviPoland","cloth drop",0.924,2,48000,0.4099,0.04227,0.00001,28.59,0.115,0.115,1.264,9,18000
cloth,517729,"ZoviPoland","cloth drop",1.011,2,48000,0.4403,0.04194,0,30.02,0.065,0.215,1.419,9,19632
cloth,556711,"NachtmahrTV","fabric movement",3.038,2,48000,0.5429,0.02139,0,-3.47,0.41,2.115,0.835,2.33,57162
cloth,591195,"Rudmer_Rotteveel","cloth",1.333,2,48000,0.6879,0.02962,0,-9.31,0.06,0.13,1.78,9,30104
cloth,591525,"Rudmer_Rotteveel","cloth",3.24,2,48000,0.7631,0.03062,0.00002,-15.38,0.065,1.75,0.674,4.46,77391
cloth,624478,"ValentinPetiteau","cloth",7.613,1,48000,0.872,0.06136,0.00001,8.43,0.05,4.63,0.705,13.77,174336
cloth,670100,"MikeFozzy98","cloth",0.129,1,48000,0.5751,0.12944,-0.00014,29.84,0.035,0.02,9,9,5428
cloth,670101,"MikeFozzy98","cloth",0.13,1,48000,0.6136,0.12849,0.00062,31.68,0.015,0.035,9,9,5636
cloth,670102,"MikeFozzy98","cloth",0.09,1,48000,0.6418,0.13802,-0.00032,32.17,0.02,0.025,9,9,4175
cloth,670103,"MikeFozzy98","cloth",0.127,1,48000,0.5724,0.11749,-0.00001,32.91,0.025,0.025,9,9,5532
cloth,670104,"MikeFozzy98","cloth",0.186,1,48000,0.5685,0.10423,0.00003,34.82,0.03,0.02,9,9,7098
cloth,670105,"MikeFozzy98","cloth",0.173,1,48000,0.5706,0.11144,0,31.06,0.03,0.04,9,9,6888
cloth,670106,"MikeFozzy98","cloth",0.183,1,48000,0.5841,0.10506,-0.00007,31.06,0.035,0.03,9,9,6680
cloth,670107,"MikeFozzy98","cloth",0.213,1,48000,0.6056,0.09446,-0.00007,36.61,0.03,0.03,9,9,7410
cloth,682869,"drewsimko","cloth",1.583,2,48000,0.0065,0.00068,0,9.79,0.08,1.17,0.787,20.1,31776
cloth,682870,"drewsimko","cloth",1.75,2,48000,0.0192,0.00048,0,8.35,0.035,1.16,0.565,15.25,34752
cloth,682871,"drewsimko","cloth",0.958,2,48000,0.0074,0.00028,0,3.16,0.04,0.73,0.388,9,19728
cloth,778063,"BlondPanda","fabric movement",5.072,1,48000,0.9673,0.03266,0.00006,3.79,0.05,3.505,0.424,9,106368
cloth,778064,"BlondPanda","fabric movement",5.302,1,48000,0.9832,0.05773,-0.00001,-5.76,0.115,3.87,0.376,9,109344
cloth,778065,"BlondPanda","fabric movement",4,1,48000,0.9701,0.06483,0,-7.86,0.025,1.3,0.559,9,77280
cloth,778066,"BlondPanda","fabric movement",3.153,1,48000,0.974,0.05011,0,-6.86,0.055,1.26,0.637,9,60768
